,Job_Title,Salary_Estimate,Rating,Company_Name,Location,Size,Founded,Type_of_ownership,Sector,Revenue
690,"Scientist, Immuno-Oncology",$62K-$119K (Glassdoor est.),3.9,"GSK
3.9","Cambridge, MA",10000+ employees,1830,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD)
691,Senior Data Scientist,$119K-$187K (Glassdoor est.),4.3,"Factual
4.3","Los Angeles, CA",51 to 200 employees,2008,Company - Private,Information Technology,Unknown / Non-Applicable
692,Jr. Data Scientist,$81K-$132K (Glassdoor est.),3.2,"MITRE
3.2","McLean, VA",5001 to 10000 employees,1958,Nonprofit Organization,Government,$1 to $2 billion (USD)
693,Senior Data Scientist,Employer Provided Salary:$120K-$140K,5.0,"SkySync
5.0","Ann Arbor, MI",51 to 200 employees,2011,Company - Private,Information Technology,Unknown / Non-Applicable
694,Products Data Analyst II,$90K-$157K (Glassdoor est.),3.3,"TriNet
3.3","Dublin, CA",1001 to 5000 employees,1988,Company - Public,Business Services,$2 to $5 billion (USD)
695,Data Architect / Data Modeler,$63K-$110K (Glassdoor est.),4.3,"Medidata Solutions
4.3","New York, NY",1001 to 5000 employees,1999,Company - Public,Information Technology,$500 million to $1 billion (USD)
696,Analytics Manager - Data Mart,$42K-$86K (Glassdoor est.),3.5,"Central California Alliance for Health
3.5","Scotts Valley, CA",501 to 1000 employees,1996,Nonprofit Organization,Health Care,$500 million to $1 billion (USD)
697,Lead Data Analyst,$32K-$62K (Glassdoor est.),3.9,"Signpost
3.9","New York, NY",201 to 500 employees,2010,Company - Private,Information Technology,$10 to $25 million (USD)
698,Data Science Engineer - Mobile,$116K-$208K (Glassdoor est.),4.0,"Adobe
4.0","San Jose, CA",10000+ employees,1982,Company - Public,Information Technology,$5 to $10 billion (USD)
699,Senior Data Scientist Oncology,$107K-$173K (Glassdoor est.),3.9,"AstraZeneca
3.9","Gaithersburg, MD",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD)
700,Data Scientist,$65K-$113K (Glassdoor est.),3.4,"DatamanUSA, LLC
3.4","Olympia, WA",51 to 200 employees,-1,Company - Private,Information Technology,$5 to $10 million (USD)
701,Sr. Data Engineer - Contract-to-Hire (Java),$69K-$127K (Glassdoor est.),3.0,"Pilot Flying J Travel Centers LLC
3.0","Knoxville, TN",10000+ employees,1958,Company - Private,Retail,$10+ billion (USD)
702,Senior Data Scientist - R&D Oncology,$102K-$172K (Glassdoor est.),3.9,"AstraZeneca
3.9","New York, NY",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD)
703,Data Engineer,$74K-$124K (Glassdoor est.),4.0,"Pinnacol Assurance
4.0","Denver, CO",501 to 1000 employees,1915,Nonprofit Organization,Insurance,$500 million to $1 billion (USD)
704,Food Scientist - Developer,$40K-$68K (Glassdoor est.),3.3,"Palermo's Pizza
3.3","Milwaukee, WI",501 to 1000 employees,1964,Company - Private,Manufacturing,Unknown / Non-Applicable
705,Senior Data Engineer,$76K-$142K (Glassdoor est.),3.2,"Equian LLC
3.2","Franklin, TN",1001 to 5000 employees,2004,Company - Private,Health Care,Unknown / Non-Applicable
706,Data Engineer,$76K-$142K (Glassdoor est.),3.4,"MetroStar Systems
3.4","Rockville, MD",201 to 500 employees,1999,Company - Private,Information Technology,$25 to $50 million (USD)
707,Senior Data Scientist,$108K-$171K (Glassdoor est.),4.4,"MathWorks
4.4","Natick, MA",1001 to 5000 employees,1984,Company - Private,Information Technology,$1 to $2 billion (USD)
708,"Director II, Data Science - GRM Actuarial",$202K-$306K (Glassdoor est.),3.3,"Liberty Mutual Insurance
3.3","Chicago, IL",10000+ employees,1912,Company - Private,Insurance,$10+ billion (USD)
709,Machine Learning Engineer,$91K-$159K (Glassdoor est.),3.2,"Information Builders
3.2","New York, NY",1001 to 5000 employees,1975,Company - Private,Information Technology,Unknown / Non-Applicable
710,"Sr Expert Data Science, Advanced Visual Analytics (Associate level)",$80K-$133K (Glassdoor est.),3.8,"Novartis
3.8","Cambridge, MA",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD)
711,MED TECH/LAB SCIENTIST- SOUTH COASTAL LAB,$21-$34 Per Hour(Glassdoor est.),3.6,"Beebe Healthcare
3.6","Millville, DE",1001 to 5000 employees,1935,Nonprofit Organization,Health Care,$100 to $500 million (USD)
712,"Scientist, Molecular/Cellular Biologist",$49K-$97K (Glassdoor est.),2.9,"Audentes Therapeutics
2.9","South San Francisco, CA",201 to 500 employees,2012,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Unknown / Non-Applicable
713,Staff Scientist-Downstream Process Development,$49K-$113K (Glassdoor est.),2.7,"Advanced BioScience Laboratories
2.7","Rockville, MD",201 to 500 employees,1961,Company - Private,Biotech & Pharmaceuticals,$25 to $50 million (USD)
714,Data Scientist,$96K-$161K (Glassdoor est.),3.2,"Numeric, LLC
3.2","Philadelphia, PA",1 to 50 employees,-1,Company - Private,Business Services,$5 to $10 million (USD)
715,Scientist - Analytical Services,$65K-$134K (Glassdoor est.),3.1,"Reynolds American
3.1","Winston-Salem, NC",5001 to 10000 employees,1875,Company - Private,Manufacturing,$10+ billion (USD)
716,"Associate Scientist / Sr. Associate Scientist, Antibody Discovery",$59K-$125K (Glassdoor est.),4.0,"23andMe
4.0","South San Francisco, CA",501 to 1000 employees,2006,Company - Private,Biotech & Pharmaceuticals,Unknown / Non-Applicable
717,Associate Data Analyst- Graduate Development Program,$32K-$59K (Glassdoor est.),3.3,"National Interstate
3.3","Richfield, OH",501 to 1000 employees,1989,Company - Private,Insurance,$500 million to $1 billion (USD)
718,Sr. Data Engineer,$87K-$158K (Glassdoor est.),4.5,"Moser Consulting
4.5","Indianapolis, IN",51 to 200 employees,1996,Company - Private,Business Services,$25 to $50 million (USD)
719,Clinical Data Analyst,$27K-$48K (Glassdoor est.),3.0,"Greenway Health
3.0","Tampa, FL",1001 to 5000 employees,1977,Subsidiary or Business Segment,Information Technology,$100 to $500 million (USD)
720,IT Associate Data Analyst,$39K-$69K (Glassdoor est.),3.7,"The Hanover Insurance Group
3.7","Worcester, MA",5001 to 10000 employees,1852,Company - Public,Insurance,$5 to $10 billion (USD)
721,Business Data Analyst,$36K-$71K (Glassdoor est.),3.8,"Fareportal
3.8","New York, NY",1001 to 5000 employees,2002,Company - Private,Travel & Tourism,$2 to $5 billion (USD)
722,Senior Insurance Data Scientist,$107K-$173K (Glassdoor est.),3.9,"TransUnion
3.9","Chicago, IL",5001 to 10000 employees,1968,Company - Public,Finance,$1 to $2 billion (USD)
723,Senior Data Science Systems Engineer,$56K-$99K (Glassdoor est.),3.2,"MITRE
3.2","Hampton, VA",5001 to 10000 employees,1958,Nonprofit Organization,Government,$1 to $2 billion (USD)
724,ENVIRONMENTAL ENGINEER/SCIENTIST,Employer Provided Salary:$25-$28 Per Hour,3.3,"Mcphail Associates
3.3","Cambridge, MA",1 to 50 employees,1976,Company - Private,"Construction, Repair & Maintenance",Unknown / Non-Applicable
725,Senior Scientist - Regulatory Submissions,$80K-$155K (Glassdoor est.),3.1,"Reynolds American
3.1","Winston-Salem, NC",5001 to 10000 employees,1875,Company - Private,Manufacturing,$10+ billion (USD)
726,Scientist - Biomarker and Flow Cytometry,$43K-$98K (Glassdoor est.),2.4,"Crown Bioscience
2.4","San Diego, CA",501 to 1000 employees,2006,Company - Private,Biotech & Pharmaceuticals,$50 to $100 million (USD)
727,Revenue Analytics Manager,$45K-$78K (Glassdoor est.),4.8,"HOVER
4.8","San Francisco, CA",51 to 200 employees,2011,Company - Private,Information Technology,$25 to $50 million (USD)
728,Sr. Scientist Method Development,$50K-$110K (Glassdoor est.),2.9,"Q2 Solutions
2.9","Marietta, GA",1001 to 5000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Unknown / Non-Applicable
729,"Associate Scientist, LC/MS Biologics",$44K-$96K (Glassdoor est.),2.9,"Q2 Solutions
2.9","Ithaca, NY",1001 to 5000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Unknown / Non-Applicable
730,"Research Scientist, Immunology - Cancer Biology",Employer Provided Salary:$100K-$140K,-1.0,Kronos Bio,"Cambridge, MA",Unknown,-1,Company - Private,-1,Unknown / Non-Applicable
731,IT - Data Engineer II,$61K-$119K (Glassdoor est.),3.4,"Arbella Insurance
3.4","Quincy, MA",1001 to 5000 employees,1988,Company - Private,Insurance,$100 to $500 million (USD)
732,Machine Learning Engineer (NLP),$80K-$142K (Glassdoor est.),4.1,"CK-12 Foundation
4.1","Palo Alto, CA",1 to 50 employees,2007,Company - Private,Education,Unknown / Non-Applicable
733,Senior Data Analyst,$99K-$178K (Glassdoor est.),3.9,"Life360
3.9","San Francisco, CA",51 to 200 employees,2008,Company - Public,Information Technology,Unknown / Non-Applicable
734,Data Science Project Manager,$37K-$100K (Glassdoor est.),3.6,"MassMutual
3.6","Boston, MA",5001 to 10000 employees,1851,Company - Private,Insurance,$10+ billion (USD)
735,Data Engineer,$62K-$113K (Glassdoor est.),3.9,"Fivestars
3.9","San Francisco, CA",201 to 500 employees,2011,Company - Private,Information Technology,$100 to $500 million (USD)
736,"Principal, Data Science - Advanced Analytics",$86K-$137K (Glassdoor est.),3.6,"IQVIA
3.6","Plymouth Meeting, PA",10000+ employees,2017,Company - Public,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
737,"Sr Scientist, Immuno-Oncology - Oncology",$58K-$111K (Glassdoor est.),3.9,"GSK
3.9","Cambridge, MA",10000+ employees,1830,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD)
738,Senior Data Engineer,$72K-$133K (Glassdoor est.),4.4,"Eventbrite
4.4","Nashville, TN",1001 to 5000 employees,2006,Company - Public,Information Technology,$100 to $500 million (USD)
739,"Project Scientist - Auton Lab, Robotics Institute",$56K-$91K (Glassdoor est.),2.6,"Software Engineering Institute
2.6","Pittsburgh, PA",501 to 1000 employees,1984,College / University,Education,Unknown / Non-Applicable
740,Data Science Manager,$95K-$160K (Glassdoor est.),3.2,"Numeric, LLC
3.2","Allentown, PA",1 to 50 employees,-1,Company - Private,Business Services,$5 to $10 million (USD)
741,Research Scientist – Security and Privacy,$61K-$126K (Glassdoor est.),3.6,"Riverside Research Institute
3.6","Beavercreek, OH",501 to 1000 employees,1967,Nonprofit Organization,Government,$50 to $100 million (USD)
