,job_title,low_end_salary,middle_range_salary,high_end_salary,company_name,job_location,sector,type_of_ownership,size_of_company,rating_of_company,cost_of_living_index,avg_salary_index,salary_col_differential,lat,lng,state
19,Data Scientist,64000,87500,111000,Pinnacol Assurance,"Denver, CO",Insurance,Nonprofit Organization,501 to 1000 employees,4.0,112.1,85.2,44553,39.7392358,-104.990251,CO
20,Data Scientist,81000,105500,130000,Porch,"Seattle, WA",Information Technology,Company - Private,201 to 500 employees,3.2,124.6,102.8,57835,47.6062095,-122.3320708,WA
21,Senior Data Scientist / Machine Learning,73000,96000,119000,Health IQ,"Dallas, TX",Insurance,Company - Private,201 to 500 employees,3.9,98.5,93.5,58276,32.7766642,-96.79698789999999,TX
22,Data Scientist - Quantitative,86000,112500,139000,Truckstop.com,"Chicago, IL",Transportation & Logistics,Company - Private,501 to 1000 employees,3.8,100.1,109.6,74189,41.8781136,-87.6297982,IL
23,Data Scientist,63000,84000,105000,SMC 3,"Louisville, KY",Transportation & Logistics,Nonprofit Organization,51 to 200 employees,4.3,91.6,81.8,48908,38.2526647,-85.7584557,KY
24,Data Scientist,109000,143000,177000,Novetta,"Herndon, VA",Information Technology,Company - Private,501 to 1000 employees,4.0,NaN,139.3,NaN,38.9695545,-77.3860976,VA
25,Digital Health Data Scientist,63000,86500,110000,Pfizer,"Cambridge, MA",Biotech & Pharmaceuticals,Company - Public,10000+ employees,4.0,NaN,84.3,NaN,42.3736158,-71.10973349999999,MA
26,Data Scientist,75000,99500,124000,First Tech Federal Credit Union,"Hillsboro, OR",Finance,Company - Private,1001 to 5000 employees,3.5,NaN,96.9,NaN,45.5201336,-122.9898149,OR
27,Associate Data Analyst,34000,47500,61000,The Hanover Insurance Group,"Worcester, MA",Insurance,Company - Public,5001 to 10000 employees,3.7,113.2,46.3,4205,42.2625932,-71.8022934,MA
28,Clinical Data Scientist,63000,84000,105000,Pfizer,"Groton, CT",Biotech & Pharmaceuticals,Company - Public,10000+ employees,4.0,NaN,81.8,NaN,41.3497456,-72.0790717,CT
29,Data Scientist,80000,85000,90000,KnowBe4,"Clearwater, FL",Business Services,Company - Private,501 to 1000 employees,4.8,NaN,82.8,NaN,27.9658533,-82.8001026,FL
30,Data Scientist,56000,76500,97000,PNNL,"Richland, WA","Oil, Gas, Energy & Utilities",Government,1001 to 5000 employees,3.8,NaN,74.5,NaN,46.28042000000001,-119.2751996,WA
31,Data Scientist,72000,96000,120000,Amrock,"Detroit, MI",Real Estate,Company - Private,1001 to 5000 employees,3.6,93.2,93.5,60305,42.331427,-83.0457538,MI
32,Data Scientist / Machine Learning Expert,86000,114500,143000,Novartis,"Cambridge, MA",Biotech & Pharmaceuticals,Company - Public,10000+ employees,3.8,NaN,111.6,NaN,42.3736158,-71.10973349999999,MA
33,Data Scientist,93000,121000,149000,Juniper Networks,"Sunnyvale, CA",Telecommunications,Company - Public,5001 to 10000 employees,3.8,NaN,117.9,NaN,37.36883,-122.0363496,CA
34,Data Scientist,85000,112500,140000,New England Biolabs,"Ipswich, MA",Biotech & Pharmaceuticals,Company - Private,201 to 500 employees,4.7,NaN,109.6,NaN,42.6791832,-70.8411558,MA
35,Web Data Analyst,77000,106000,135000,Clarity Insights,"San Jose, CA",Information Technology,Company - Private,201 to 500 employees,4.2,173.5,103.3,39636,37.33874,-121.8852525,CA
36,Data Scientist,82000,107000,132000,Esri,"Redlands, CA",Information Technology,Company - Private,1001 to 5000 employees,3.5,NaN,104.2,NaN,34.0563884,-117.2058765,CA
37,Data Scientist,83000,110000,137000,Systems & Technology Research,"Woburn, MA",Aerospace & Defense,Company - Private,201 to 500 employees,4.7,NaN,107.2,NaN,42.4792618,-71.1522765,MA
38,Senior Data Scientist,115000,147500,180000,Sartorius,"Fremont, CA",Biotech & Pharmaceuticals,Company - Public,5001 to 10000 employees,3.5,NaN,143.7,NaN,37.5485396,-121.988583,CA
39,Data Engineer,74000,106000,138000,Lancer Insurance,"Long Beach, NY",Insurance,Company - Private,201 to 500 employees,3.5,NaN,103.3,NaN,40.5884373,-73.65790799999999,NY
40,Data Analyst,64000,88000,112000,Sauce Labs,"San Francisco, CA",Information Technology,Company - Private,201 to 500 employees,4.2,178.6,85.7,19619,37.7749295,-122.4194155,CA
41,Data Engineer,68000,98500,129000,Persivia,"Marlborough, MA",-1,Company - Private,1 to 50 employees,3.6,NaN,96.0,NaN,42.3459271,-71.5522874,MA
42,Data Scientist - Algorithms & Inference,110000,142500,175000,Nuna,"San Francisco, CA",Information Technology,Company - Private,51 to 200 employees,4.2,178.6,138.8,74121,37.7749295,-122.4194155,CA
43,Scientist,52000,82500,113000,Edgewell Personal Care,"Allendale, NJ",Manufacturing,Company - Public,5001 to 10000 employees,3.4,NaN,80.4,NaN,41.0414857,-74.129032,NJ
44,Senior Data Scientist,110000,130000,150000,Equity Residential,"Chicago, IL",Real Estate,Company - Public,1001 to 5000 employees,4.3,100.1,126.7,91741,41.8781136,-87.6297982,IL
45,Data Scientist,150000,155000,160000,BPA Services,"Washington, DC",Information Technology,Company - Private,Unknown,5.0,120.1,151.0,109029,38.9071923,-77.0368707,DC
46,Lead Data Scientist,158000,184500,211000,Visa Inc.,"Bellevue, WA",Information Technology,Company - Public,10000+ employees,3.7,NaN,179.8,NaN,47.6101497,-122.2015159,WA
47,Associate Data Analyst,20000,29500,39000,Intrado,"Longmont, CO",Information Technology,Company - Private,5001 to 10000 employees,3.1,NaN,28.7,NaN,40.1672068,-105.1019275,CO
48,Spectral Scientist/Engineer,56000,86500,117000,Centauri,"Beavercreek, OH",Aerospace & Defense,Company - Private,501 to 1000 employees,4.7,NaN,84.3,NaN,39.7092262,-84.06326849999999,OH
49,College Hire - Data Scientist - Open to December 2019 Graduates,63000,81000,99000,Caterpillar,"Peoria, IL",Manufacturing,Company - Public,10000+ employees,3.7,86.7,78.9,47806,40.6936488,-89.5889864,IL
50,Data Scientist,68000,91000,114000,Zimmerman Advertising,"Fort Lauderdale, FL",Business Services,Subsidiary or Business Segment,501 to 1000 employees,3.8,NaN,88.7,NaN,26.1224386,-80.13731740000001,FL
51,"Data Scientist, Office of Data Science",86000,114500,143000,Liberty Mutual Insurance,"Boston, MA",Insurance,Company - Private,10000+ employees,3.3,132.6,111.6,63806,42.3600825,-71.0588801,MA
52,Data Science Analyst,41000,68000,95000,"Torch Technologies, Inc.","Huntsville, AL",Aerospace & Defense,Company - Private,1001 to 5000 employees,4.6,91.3,66.3,33113,34.7303688,-86.5861037,AL
53,Data Scientist,86000,115000,144000,Swiss Re,"Armonk, NY",Insurance,Company - Public,10000+ employees,3.7,NaN,112.0,NaN,41.1264849,-73.71401949999999,NY
54,Data Scientist,80000,109500,139000,Northrop Grumman,"San Diego, CA",Aerospace & Defense,Company - Public,10000+ employees,3.7,136.2,106.7,57399,32.715738,-117.1610838,CA
55,Data Scientist,56000,75500,95000,Sartorius,"Albuquerque, NM",Biotech & Pharmaceuticals,Company - Public,5001 to 10000 employees,3.5,92.9,73.6,39994,35.0843859,-106.650422,NM
56,Data Scientist,120000,154500,189000,Netskope,"San Francisco, CA",Information Technology,Company - Private,501 to 1000 employees,4.1,178.6,150.5,86130,37.7749295,-122.4194155,CA
57,Data Scientist,111000,143500,176000,1904labs,"Saint Louis, MO",Information Technology,Company - Private,51 to 200 employees,4.7,NaN,139.8,NaN,38.6270025,-90.19940419999999,MO
58,Data Scientist,54000,73500,93000,ClearOne Advantage,"Baltimore, MD",Finance,Company - Private,501 to 1000 employees,4.1,107.0,71.6,32546,39.2903848,-76.6121893,MD
59,Data Scientist,71000,95000,119000,CyrusOne,"Dallas, TX",Real Estate,Company - Public,201 to 500 employees,3.4,98.5,92.6,57353,32.7766642,-96.79698789999999,TX
60,Senior Data Scientist,82000,107000,132000,The David J. Joseph Company,"Cincinnati, OH",Mining & Metals,Subsidiary or Business Segment,201 to 500 employees,4.4,92.4,104.2,71593,39.1031182,-84.5120196,OH
61,Data Scientist,84000,115000,146000,USEReady,"New York, NY",Business Services,Company - Private,201 to 500 employees,4.3,128.0,112.0,65976,40.7127753,-74.0059728,NY
62,Senior Risk Data Scientist,107000,139500,172000,Bill.com,"Palo Alto, CA",Finance,Company - Public,501 to 1000 employees,3.8,NaN,135.9,NaN,37.4418834,-122.1430195,CA
63,Data Scientist in Artificial Intelligence Early Career,49000,67000,85000,Pacific Northwest National Laboratory,"Richland, WA","Oil, Gas, Energy & Utilities",Government,1001 to 5000 employees,3.8,NaN,65.3,NaN,46.28042000000001,-119.2751996,WA
64,Data Scientist,61000,85000,109000,DICK'S Sporting Goods - Corporate,"Coraopolis, PA",Retail,Company - Public,10000+ employees,3.8,NaN,82.8,NaN,40.5184013,-80.1667247,PA
65,Data Scientist,88000,118000,148000,Berg Health,"Framingham, MA",Biotech & Pharmaceuticals,Company - Private,51 to 200 employees,2.8,NaN,115.0,NaN,42.279286,-71.4161565,MA
66,Data Scientist,60000,79500,99000,Oversight Systems,"Atlanta, GA",Information Technology,Company - Private,51 to 200 employees,4.7,100.3,77.5,41165,33.7489954,-84.3879824,GA
67,Data Scientist - Research,41000,56500,72000,C Space,"Boston, MA",Business Services,Company - Public,201 to 500 employees,3.1,132.6,55.0,5711,42.3600825,-71.0588801,MA
68,Data Scientist,96000,128500,161000,"Numeric, LLC","Philadelphia, PA",Business Services,Company - Private,1 to 50 employees,3.2,103.4,125.2,88938,39.9525839,-75.1652215,PA
69,R&D Data Analysis Scientist,65000,97500,130000,HP Inc.,"Vancouver, WA",Information Technology,Company - Public,10000+ employees,4.0,NaN,95.0,NaN,45.6280277,-122.673865,WA
70,Analytics Consultant,52000,66500,81000,SpringML,"Indianapolis, IN",Information Technology,Company - Private,1 to 50 employees,4.4,90.2,64.8,31995,39.768403,-86.158068,IN
71,"Director, Data Science",139000,179500,220000,Grainger,"Lake Forest, IL",Business Services,Company - Public,10000+ employees,3.6,NaN,174.9,NaN,42.2586342,-87.840625,IL
72,Scientist,50000,76000,102000,EAG Laboratories,"Maryland Heights, MO",Business Services,Subsidiary or Business Segment,501 to 1000 employees,2.7,NaN,74.0,NaN,38.7131073,-90.42984009999999,MO
73,Data Scientist SR,85000,112000,139000,The Buffalo Group,"Charlottesville, VA",Information Technology,Company - Private,501 to 1000 employees,3.9,102.1,109.1,72911,38.0293059,-78.47667810000002,VA
74,Data Scientist,74000,98000,122000,Carmeuse,"Pittsburgh, PA",Mining & Metals,Company - Private,1001 to 5000 employees,3.1,93.1,95.5,62396,40.44062479999999,-79.9958864,PA
75,R&D Sr Data Scientist,99000,128000,157000,HP Inc.,"Vancouver, WA",Information Technology,Company - Public,10000+ employees,4.0,NaN,124.7,NaN,45.6280277,-122.673865,WA
76,Customer Data Scientist/Sales Engineer (Bay,79000,150500,222000,h2o.ai,"Mountain View, CA",Information Technology,Company - Private,201 to 500 employees,4.3,NaN,146.6,NaN,37.3860517,-122.0838511,CA
77,Research Scientist,57000,87500,118000,GNS Healthcare,"Cambridge, MA",Biotech & Pharmaceuticals,Company - Private,51 to 200 employees,1.9,NaN,85.2,NaN,42.3736158,-71.10973349999999,MA
78,Data Scientist,83000,110000,137000,Peraton,"Chantilly, VA",Aerospace & Defense,Company - Private,1001 to 5000 employees,3.3,NaN,107.2,NaN,38.8942786,-77.43109919999999,VA
79,Data Scientist,86000,113500,141000,Pactera,"San Jose, CA",Information Technology,Company - Private,10000+ employees,4.4,173.5,110.6,47128,37.33874,-121.8852525,CA
80,Data Scientist,94000,124000,154000,Nurx,"San Francisco, CA",Health Care,Company - Private,51 to 200 employees,3.9,178.6,120.8,55646,37.7749295,-122.4194155,CA
81,Jr. Business Data Analyst,37000,56500,76000,webfx.com,"Harrisburg, PA",Business Services,Company - Private,201 to 500 employees,4.7,95.8,55.0,19793,40.2731911,-76.8867008,PA
82,Data Scientist,100000,130000,160000,Johns Hopkins University Applied Physics Laboratory,"Laurel, MD",Aerospace & Defense,Nonprofit Organization,5001 to 10000 employees,4.5,NaN,126.7,NaN,39.0992752,-76.8483061,MD
83,Data Analyst,55000,77500,100000,Productive Edge,"Chicago, IL",Information Technology,Company - Private,51 to 200 employees,4.3,100.1,75.5,39189,41.8781136,-87.6297982,IL
84,Data Engineer,60000,87000,114000,Excella Consulting,"Arlington, VA",Business Services,Company - Private,201 to 500 employees,4.0,NaN,84.8,NaN,38.8799697,-77.1067698,VA
85,Data Analyst,39000,53500,68000,Gensco,"Tacoma, WA",Business Services,Company - Private,501 to 1000 employees,4.4,NaN,52.1,NaN,47.2528768,-122.4442906,WA
86,Staff Data Scientist - Technology,106000,139000,172000,Walmart,"Plano, TX",Retail,Company - Public,10000+ employees,3.2,NaN,135.4,NaN,33.0198431,-96.6988856,TX
87,Data Scientist,86000,114000,142000,Logic20/20,"San Jose, CA",Business Services,Company - Private,201 to 500 employees,3.8,173.5,111.1,47642,37.33874,-121.8852525,CA
88,Data Scientist,64000,85500,107000,goTRG,"Miami, FL",Information Technology,Company - Private,501 to 1000 employees,4.2,110.1,83.3,43368,25.7616798,-80.1917902,FL
89,Data Management Specialist,31000,48000,65000,NMR Consulting,"Huntsville, AL",Information Technology,Company - Private,51 to 200 employees,4.5,91.3,46.8,13099,34.7303688,-86.5861037,AL
90,E-Commerce Data Analyst,34000,48000,62000,iSeatz,"New Orleans, LA",Information Technology,Company - Private,51 to 200 employees,3.5,92.4,46.8,12678,29.95106579999999,-90.0715323,LA
91,Sr. Scientist II,117000,174000,231000,Nektar Therapeutics,"San Francisco, CA",Biotech & Pharmaceuticals,Company - Public,201 to 500 employees,3.5,178.6,169.5,105632,37.7749295,-122.4194155,CA
92,Insurance Data Scientist,64000,85000,106000,TransUnion,"Atlanta, GA",Finance,Company - Public,5001 to 10000 employees,3.9,100.3,82.8,46605,33.7489954,-84.3879824,GA
93,Data Modeler,79000,106500,134000,IT Concepts,"Landover, MD",Information Technology,Company - Private,51 to 200 employees,4.7,NaN,103.8,NaN,38.9340002,-76.8966397,MD
94,Data Analyst / Scientist,52000,72500,93000,Scientific Research Corporation,"Patuxent River, MD",Information Technology,Company - Private,1001 to 5000 employees,4.2,NaN,70.6,NaN,38.2772663,-76.42295,MD
95,Scientist,55000,85500,116000,General Dynamics Information Technology,"Suitland, MD",Information Technology,Subsidiary or Business Segment,10000+ employees,3.4,NaN,83.3,NaN,38.8473762,-76.9239727,MD
96,Data Scientist,72000,97500,123000,MITRE,"McLean, VA",Government,Nonprofit Organization,5001 to 10000 employees,3.2,NaN,95.0,NaN,38.9338676,-77.1772604,VA
97,Data Scientist,74000,99000,124000,The Buffalo Group,"Fort Belvoir, VA",Information Technology,Company - Private,501 to 1000 employees,3.9,NaN,96.5,NaN,38.71887160000001,-77.15426839999999,VA
98,Data Analyst,40000,56500,73000,DentaQuest,"Milwaukee, WI",Insurance,Company - Private,1001 to 5000 employees,3.1,93.8,55.0,20559,43.0389025,-87.9064736,WI
99,Lead Data Scientist,102000,133000,164000,Redjack,"Silver Spring, MD",Information Technology,Company - Private,1 to 50 employees,4.1,NaN,129.6,NaN,38.99066570000001,-77.026088,MD
100,Data Scientist,89000,121000,153000,7Park Data,"New York, NY",Business Services,Company - Private,51 to 200 employees,3.8,128.0,117.9,72032,40.7127753,-74.0059728,NY
101,Data Scientist,61000,85500,110000,Rapid Response Monitoring,"Syracuse, NY",Business Services,Company - Private,501 to 1000 employees,4.7,95.1,83.3,49108,43.0481221,-76.14742439999999,NY
102,"Data Scientist, Rice University",65000,87500,110000,Trilogy Ed,"Houston, TX",Education,Subsidiary or Business Segment,1001 to 5000 employees,4.3,95.8,85.2,50790,29.7604267,-95.3698028,TX
103,Senior Data Scientist,200000,237500,275000,Gallup,"Washington, DC",Business Services,Company - Private,1001 to 5000 employees,4.2,120.1,231.4,191552,38.9071923,-77.0368707,DC
104,Data Engineer,68000,95500,123000,CapTech,"Charlotte, NC",Information Technology,Company - Private,1001 to 5000 employees,3.9,97.9,93.0,57993,35.2270869,-80.8431267,NC
105,Senior Data Scientist,80000,104500,129000,American Axle & Manufacturing,"Southfield, MI",Manufacturing,Company - Public,10000+ employees,3.3,NaN,101.8,NaN,42.4733688,-83.2218731,MI
106,Financial Data Analyst,41000,56500,72000,CentralReach,"Matawan, NJ",Information Technology,Company - Private,201 to 500 employees,4.7,NaN,55.0,NaN,40.41482999999999,-74.2295891,NJ
107,Senior Data Analyst,39000,55000,71000,Integrate,"Phoenix, AZ",Information Technology,Company - Private,201 to 500 employees,4.3,104.3,53.6,15104,33.4483771,-112.0740373,AZ
108,Research Scientist,38000,61500,85000,Boys Town Hospital,"Omaha, NE",Health Care,Hospital,1001 to 5000 employees,2.9,92.9,59.9,25932,41.2565369,-95.9345034,NE
109,Data Scientist,121000,157000,193000,Demandbase,"San Francisco, CA",Information Technology,Company - Private,201 to 500 employees,4.5,178.6,153.0,88696,37.7749295,-122.4194155,CA
110,Data Engineer,54000,78000,102000,Sapphire Digital,"Lyndhurst, NJ",Information Technology,Company - Private,201 to 500 employees,3.4,NaN,76.0,NaN,40.81201710000001,-74.1243063,NJ
111,Data Scientist,83000,113500,144000,Takeda Pharmaceuticals,"Cambridge, MA",Biotech & Pharmaceuticals,Company - Public,10000+ employees,3.7,NaN,110.6,NaN,42.3736158,-71.10973349999999,MA
112,Data Scientist,120000,140000,160000,<intent>,"New York, NY",Information Technology,Company - Private,51 to 200 employees,4.6,128.0,136.4,91021,40.7127753,-74.0059728,NY
113,Data Scientist,102000,132500,163000,Formation,"San Francisco, CA",Information Technology,Company - Private,51 to 200 employees,3.2,178.6,129.1,64165,37.7749295,-122.4194155,CA
114,Data Engineer,76000,108000,140000,Autodesk,"San Francisco, CA",Information Technology,Company - Public,5001 to 10000 employees,4.0,178.6,105.2,39634,37.7749295,-122.4194155,CA
115,Ag Data Scientist,60000,80500,101000,Beck's Hybrids,"Atlanta, IN",Agriculture & Forestry,Company - Private,501 to 1000 employees,4.6,NaN,78.4,NaN,40.2153151,-86.0263746,IN
116,Data Scientist,82000,107500,133000,DrFirst,"Rockville, MD",Health Care,Company - Private,201 to 500 employees,2.8,NaN,104.7,NaN,39.0839973,-77.1527578,MD
117,Data Engineer,65000,95000,125000,Object Partners,"Minneapolis, MN",Business Services,Company - Private,51 to 200 employees,4.7,105.4,92.6,54712,44.977753,-93.2650108,MN
118,Data Scientist II,91000,119500,148000,L.A. Care Health Plan,"Los Angeles, CA",Health Care,Nonprofit Organization,1001 to 5000 employees,3.0,140.6,116.4,65671,34.0522342,-118.2436849,CA
119,Senior Data Engineer,95000,134000,173000,Red Ventures,"Charlotte, NC",Business Services,Company - Private,1001 to 5000 employees,3.2,97.9,130.6,96585,35.2270869,-80.8431267,NC
120,Data Scientist,77000,100500,124000,Quick Base,"Cambridge, MA",Information Technology,Company - Private,201 to 500 employees,4.4,NaN,97.9,NaN,42.3736158,-71.10973349999999,MA
121,Data Scientist,80000,107500,135000,The E.W. Scripps Company,"Cincinnati, OH",Media,Company - Public,1001 to 5000 employees,3.5,92.4,104.7,72106,39.1031182,-84.5120196,OH
122,Data Engineer,85000,122000,159000,Upside Business Travel,"Washington, DC",Information Technology,Company - Private,51 to 200 employees,4.0,120.1,118.9,76082,38.9071923,-77.0368707,DC
123,Data Engineer,80000,92500,105000,Equity Residential,"Chicago, IL",Real Estate,Company - Public,1001 to 5000 employees,4.3,100.1,90.1,54174,41.8781136,-87.6297982,IL
124,Data Analyst,43000,62000,81000,Synagro,"Baltimore, MD",Business Services,Company - Private,501 to 1000 employees,2.3,107.0,60.4,21050,39.2903848,-76.6121893,MD
125,Project Scientist,29000,39500,50000,Alliance Source Testing,"Alabaster, AL",Business Services,Unknown,51 to 200 employees,4.0,NaN,38.5,NaN,33.2442813,-86.8163773,AL
126,Data Scientist,82000,107500,133000,Accuride International,"Santa Fe Springs, Los Angeles, CA",Manufacturing,Company - Private,1001 to 5000 employees,3.6,NaN,104.7,NaN,33.9472359,-118.0853451,Los Angeles
127,Data Analytics Manager,26000,40500,55000,Full Potential Solutions,"Kansas City, MO",Business Services,Company - Private,501 to 1000 employees,3.8,91.6,39.5,5491,39.0997265,-94.5785667,MO
128,Senior Machine Learning (ML) Engineer / Data Scientist - Cyber Security Analytics,61000,89500,118000,Visa Inc.,"Ashburn, VA",Information Technology,Company - Public,10000+ employees,3.7,NaN,87.2,NaN,39.0437567,-77.4874416,VA
129,Data Scientist,60000,81000,102000,Maven Wave Partners,"Chicago, IL",Business Services,Company - Private,201 to 500 employees,4.4,100.1,78.9,42679,41.8781136,-87.6297982,IL
130,Senior Data Scientist,112000,147000,182000,Novetta,"Herndon, VA",Information Technology,Company - Private,501 to 1000 employees,4.0,NaN,143.2,NaN,38.9695545,-77.3860976,VA
131,Data Scientist,64000,85000,106000,"First Command Financial Services, Inc.","Fort Worth, TX",Finance,Company - Private,1001 to 5000 employees,3.2,NaN,82.8,NaN,32.7554883,-97.3307658,TX
132,Associate Scientist,51000,81500,112000,Pharmavite,"Valencia, CA",Manufacturing,Company - Private,1001 to 5000 employees,2.9,NaN,79.4,NaN,34.419837,-118.5627013,CA
133,"Scientist 2, QC Viral Vector",113000,168000,223000,BioMarin Pharmaceutical,"Novato, CA",Biotech & Pharmaceuticals,Company - Public,1001 to 5000 employees,3.8,NaN,163.7,NaN,38.1074198,-122.5697032,CA
134,Machine Learning Engineer,72000,100500,129000,Stratagem Group,"Aurora, CO",Aerospace & Defense,Company - Private,1 to 50 employees,4.3,NaN,97.9,NaN,39.7294319,-104.8319195,CO
135,Data Scientist/ML Engineer,71000,97000,123000,PA Consulting,"New York, NY",Business Services,Company - Private,1001 to 5000 employees,3.4,128.0,94.5,48014,40.7127753,-74.0059728,NY
136,Data Scientist,64000,85000,106000,ManTech,"Chantilly, VA",Business Services,Company - Public,5001 to 10000 employees,4.1,NaN,82.8,NaN,38.8942786,-77.43109919999999,VA
137,Customer Data Scientist,118000,153500,189000,h2o.ai,"Mountain View, CA",Information Technology,Company - Private,201 to 500 employees,4.3,NaN,149.6,NaN,37.3860517,-122.0838511,CA
138,Data Engineer,120000,132500,145000,Gridiron IT,"Tampa, FL",Information Technology,Company - Private,51 to 200 employees,5.0,101.4,129.1,93707,27.950575,-82.4571776,FL
139,Data Engineer,80000,100000,120000,Productive Edge,"Chicago, IL",Information Technology,Company - Private,51 to 200 employees,4.3,100.1,97.4,61667,41.8781136,-87.6297982,IL
140,Sr. Data Scientist,80000,105000,130000,Evolve Vacation Rental,"Denver, CO",Travel & Tourism,Company - Private,201 to 500 employees,3.7,112.1,102.3,62105,39.7392358,-104.990251,CO
141,Data Engineer 4 - Contract,59000,87000,115000,The Church of Jesus Christ of Latter-day Saints,"Riverton, UT",Non-Profit,Nonprofit Organization,10000+ employees,4.2,NaN,84.8,NaN,40.521893,-111.9391023,UT
142,Data Analyst - Asset Management,71000,103500,136000,Maximus Real Estate Partners,"San Francisco, CA",Real Estate,Company - Private,51 to 200 employees,4.3,178.6,100.8,35118,37.7749295,-122.4194155,CA
143,Senior Research Scientist - Embedded System Development for DevOps,81000,124000,167000,Software Engineering Institute,"Pittsburgh, PA",Education,College / University,501 to 1000 employees,2.6,93.1,120.8,88364,40.44062479999999,-79.9958864,PA
144,Data Scientist - Bioinformatics,49000,67000,85000,PNNL,"Richland, WA","Oil, Gas, Energy & Utilities",Government,1001 to 5000 employees,3.8,NaN,65.3,NaN,46.28042000000001,-119.2751996,WA
145,Data Engineer,60000,87000,114000,AVANADE,"Washington, DC",Information Technology,Company - Private,10000+ employees,3.9,120.1,84.8,41081,38.9071923,-77.0368707,DC
146,Customer Data Scientist/Sales Engineer,71000,137500,204000,h2o.ai,"Chicago, IL",Information Technology,Company - Private,201 to 500 employees,4.3,100.1,134.0,99233,41.8781136,-87.6297982,IL
147,Lead Data Scientist,75000,100000,125000,PatientPoint,"Cincinnati, OH",Business Services,Company - Private,201 to 500 employees,3.8,92.4,97.4,64614,39.1031182,-84.5120196,OH
148,MongoDB Data Engineer II,77000,106500,136000,BlueCross BlueShield of Tennessee,"Chattanooga, TN",Insurance,Nonprofit Organization,5001 to 10000 employees,3.8,91.2,103.8,71642,35.0457984,-85.3093995,TN
